infinitive,meaning,regular,vokalwechsel,separable,modal,exceptions,examples
abfahren,to depart,FALSE,a->ä,ab,,,Wir fahren um zwölf Uhr ab.
abgeben,to drop off,FALSE,e->i,ab,,,Ich muss meine Schlüssel abgeben.
abholen,to pick up,TRUE,,ab,,,Wir müssen noch meinen Bruder abholen.; Wann kann ich den Schrank bei dir abholen?
anbieten,to offer,TRUE,,an,,,Was darf ich dir anbieten?
anfangen,to begin,FALSE,a->ä,an,,,Hier fängt die Banhofstraße an.
ankommen,to arrive,TRUE,,an,,,Wann kommt dieser Zug in Hamburg an?
anrufen,to call someone,TRUE,,an,,,Kann man Sie anrufen?; Wann kannst du ihn anrufen?
antworten,to answer,TRUE,,,,,Bitte antworte ja oder nein.; Er antowrtet nicht.
arbeiten,to work,TRUE,,,,,Arbeitest du abends?; Tom arbeitet hier.; Wo arbeiten Sie?
aufhören,to end,TRUE,,auf,,,Hier hört die Bahnhofstraße auf.
beginnen,to begin,TRUE,,,,,Das Spiel beginnt um 15.30 Uhr.
bekommen,to get/receive,TRUE,,,,,Was bekommen Sie?; Haben Sie meinen Brief bekommen?
benutzen,to use,TRUE,,,,,Die Aufzüge bitte nicht benutzen!
bestellen,to order,TRUE,,,,,"Wir möchten bestellen, bitte.; Kann ich am Tisch bestellen?"
besuchen,to visit,TRUE,,,,,Darf ich dich besuchen?
bezahlen,to pay,TRUE,,,,,Wo muss ich bezhalen?
bleiben,to stay,TRUE,,,,,Ich bleibe heute zu Hause.
brauchen,to need,TRUE,,,,,Wir brauchen noch Eier.; Brauchst du die Zeitung noch?
bringen,to bring,TRUE,,,,,Er bringt das Bier.; Bringen Sie mir bitte noch einen Kaffee!
denken,to think/guess,TRUE,,,,,Ich denke es ist wahr.; Was denkst du?
dürfen,to be allowed,FALSE,,,TRUE,ich darf; du darfst; er/sie/es darf,Darf ich hier sitzen?; Darf ich dein Fahrrad nehmen?
einkaufen,to shop,TRUE,,ein,,,Ich muss noch für morgen einkaufen.
einladen,to invite,FALSE,a->ä,ein,,,Darf ich Sie zu einem Kaffee einladen?
einsteigen,to entry/get on,TRUE,,ein,,,"Einsteigen Bitte.; Schnell, steig ein, der Zug fährt gleich."
empfehlen,to recommend,FALSE,e->ie,,,,Welchen Wein können Sie mir empfehlen?
erklären,to explain,TRUE,,,,,Kannst du mir das erklären?
erlauben,to permit,TRUE,,,,,Rauchen ist hier nicht erlaubt.
essen,to eat,FALSE,e->i,,,,Was gibt es zu essen?; Du isst gerne Eis.
fahren,to drive,FALSE,a->ä,,,,Ich fahre mit dem Fahrrad zur Arbeit.
feiern,to celebrate,TRUE,,,,,Wir feiern heute meinen Geburtstag.
finden,to find,TRUE,,,,,Ich finde Deutsch schwer.; Wo finde ich eine Bäckerei?; Findest du sie attraktiv?
fragen,to ask,TRUE,,,,,Warum fragst du mich das?; Kann ich dich etwas fragen?
geben,to give,FALSE,e->i,,,,Gebt mir noch einen.; Gibt es Milch?; Kannst du mir bitte das Salz geben?
gehen,to go,TRUE,,,,,Ich gehe heute ins Kino.; Wie geht's?; Das geht nicht.
glauben,to believe,TRUE,,,,,"Ich glaube, er kommt gleich.; Ich glaube an dich."
haben,to have,FALSE,,,,du hast; er/sie/es hat,Ich habe ein neues Handy.; Ich habe eine Frage.
